,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
336,Cabinda,20,AO,1594876931,74,-5.55,12.2,299.15,3.6
337,Karratha,0,AU,1594853318,71,-20.74,116.85,291.52,1.69
338,Acaraú,0,BR,1594889238,54,-2.89,-40.12,303.89,5.38
339,Honiara,20,SB,1594928237,94,-9.43,159.95,296.15,2.1
340,Kisangani,75,CD,1594873242,83,0.52,25.2,299.15,1.2
341,Broome,87,US,1594892478,52,42.25,-75.83,296.48,3.58
342,Tura,100,IN,1594855079,92,25.52,90.22,298.04,1.91
343,Pacific Grove,90,US,1594904509,82,36.62,-121.92,288.15,0.77
344,Tigre,75,AR,1594897057,66,-34.43,-58.58,285.37,3.6
345,Itupiranga,75,BR,1594891659,52,-5.13,-49.33,306.15,3.1
346,Codrington,0,AU,1594935871,92,-38.27,141.97,277.8,3.79
347,Okha,97,RU,1594923618,90,53.57,142.95,286.87,3.58
348,Zhangye,75,CN,1594850739,43,38.93,100.45,295.29,1.11
349,Robertsport,76,LR,1594881432,69,6.75,-11.37,298.54,3.85
350,Staryy Nadym,78,RU,1594846758,63,65.61,72.68,286.0,1.99
351,Qandala,94,SO,1594866275,47,11.47,49.87,307.09,5.29
352,Doka,99,SD,1594869455,70,13.52,35.77,299.45,3.98
353,Pierre,1,US,1594897950,57,44.37,-100.35,299.82,4.6
354,North Bend,90,US,1594903875,100,43.41,-124.22,287.59,2.6
355,Hambantota,90,LK,1594859292,83,6.12,81.12,299.15,3.1
356,Piney Green,40,US,1594894088,62,34.72,-77.32,304.82,2.1
357,San Patricio,75,MX,1594902585,84,19.22,-104.7,303.15,3.1
358,Ongandjera,0,NA,1594877443,20,-17.88,15.07,296.13,5.21
359,Aklavik,75,CA,0,93,68.22,-135.01,285.15,3.6
360,Rāvar,73,IR,1594862370,13,31.27,56.81,307.12,4.2
361,Lüderitz,0,NA,1594878378,12,-26.65,15.16,304.15,1.5
362,Palora,75,EC,1594898202,72,-1.7,-77.93,293.15,3.1
363,Beyşehir,0,TR,1594867449,20,37.68,31.72,301.11,5.44
364,Algiers,0,DZ,1594874484,51,36.75,3.04,302.15,8.7
365,Naryan-Mar,55,RU,1594847083,68,67.67,53.09,286.24,4.64
366,Lafiagi,34,NG,1594877198,81,8.87,5.42,300.07,2.37
367,Belyy Yar,23,RU,1594849513,55,53.6,91.39,292.15,2.0
368,Yermekeyevo,95,RU,1594858414,84,54.08,53.67,295.6,3.05
369,Liverpool,75,GB,1594872246,77,53.41,-2.98,292.15,6.2
